LV1,SPVolt,Output,Date,ST_Lv1
0,0,0,2022-11-26 10:36:26,0
99.71,100.00,564,2022-11-26 10:36:27,128
99.61,100.00,564,2022-11-26 10:36:28,128
99.61,100.00,564,2022-11-26 10:36:29,128
99.59,100.00,564,2022-11-26 10:36:30,128
99.59,100.00,564,2022-11-26 10:36:31,128
99.75,100.00,564,2022-11-26 10:36:32,128
99.75,100.00,564,2022-11-26 10:36:33,128
100.15,100.00,564,2022-11-26 10:36:34,128
100.15,100.00,564,2022-11-26 10:36:35,128
100.38,100.00,564,2022-11-26 10:36:36,128
100.57,100.00,564,2022-11-26 10:36:37,128
100.73,100.00,567,2022-11-26 10:36:38,128
100.73,100.00,567,2022-11-26 10:36:39,128
100.78,100.00,567,2022-11-26 10:36:40,128
100.92,100.00,567,2022-11-26 10:36:41,128
100.92,100.00,567,2022-11-26 10:36:42,128
100.92,100.00,567,2022-11-26 10:36:43,128
100.61,100.00,567,2022-11-26 10:36:44,128
100.61,100.00,567,2022-11-26 10:36:45,128
100.11,100.00,567,2022-11-26 10:36:46,128
100.11,100.00,564,2022-11-26 10:36:47,128
99.51,100.00,564,2022-11-26 10:36:48,128
99.51,100.00,564,2022-11-26 10:36:49,128
99.11,100.00,564,2022-11-26 10:36:50,128
99.11,100.00,564,2022-11-26 10:36:51,128
99.18,100.00,564,2022-11-26 10:36:52,128
99.18,100.00,564,2022-11-26 10:36:53,128
99.51,100.00,564,2022-11-26 10:36:54,128
99.51,100.00,564,2022-11-26 10:36:55,128
99.85,100.00,564,2022-11-26 10:36:56,128
99.85,100.00,564,2022-11-26 10:36:57,128
100.03,100.00,564,2022-11-26 10:36:58,128
100.03,100.00,564,2022-11-26 10:36:59,128
100.13,100.00,564,2022-11-26 10:37:00,128
100.13,100.00,564,2022-11-26 10:37:01,128
100.01,100.00,564,2022-11-26 10:37:02,128
100.01,100.00,564,2022-11-26 10:37:03,128
99.49,100.00,564,2022-11-26 10:37:04,128
99.49,100.00,564,2022-11-26 10:37:05,128
99.11,100.00,564,2022-11-26 10:37:06,128
99.11,100.00,564,2022-11-26 10:37:07,128
98.89,100.00,564,2022-11-26 10:37:08,128
98.89,100.00,564,2022-11-26 10:37:09,128
98.68,100.00,564,2022-11-26 10:37:10,128
98.68,100.00,560,2022-11-26 10:37:11,128
98.56,100.00,560,2022-11-26 10:37:12,128
98.56,100.00,560,2022-11-26 10:37:13,128
98.69,100.00,560,2022-11-26 10:37:14,128
98.69,100.00,560,2022-11-26 10:37:15,128
98.95,100.00,560,2022-11-26 10:37:16,128
98.95,100.00,560,2022-11-26 10:37:17,128
99.65,100.00,560,2022-11-26 10:37:18,128
