LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
100.87,100.00,1,0,0,0.000500,576,2022-05-02 14:45:58.458237
100.82,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:45:59.458294
100.77,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:00.458351
100.67,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:01.461409
100.48,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:02.458466
100.41,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:03.459523
100.29,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:04.458580
100.26,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:05.459637
100.25,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:06.458694
100.24,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:07.457751
100.20,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:08.459809
100.13,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:09.461866
100.04,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:10.458923
99.87,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:11.457980
99.74,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:12.461038
99.77,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:13.458095
99.77,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:14.458152
99.83,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:15.458209
99.84,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:16.458266
99.91,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:17.458323
99.91,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:18.459381
99.95,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:19.460438
100.03,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:20.460495
100.01,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:21.457552
100.03,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:22.459610
100.04,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:23.457667
100.05,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:24.457724
100.06,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:25.458781
100.01,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:26.457838
99.99,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:27.457895
99.84,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:28.461953
99.70,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:29.460010
99.51,100.00,1,0.005000,0.000400,0.000500,576,2022-05-02 14:46:30.461067
99.34,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:31.458124
99.16,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:32.458181
99.10,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:33.460239
99.11,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:34.460296
99.24,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:35.462353
99.28,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:36.462410
99.29,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:37.457467
99.23,100.00,1,0.005000,0.000400,0.000500,573,2022-05-02 14:46:38.457525
