LV1,SPVolt,Output,Date
0,0,0,2022-08-24 17:25:14
0.05,0.00,1024,2022-08-24 17:25:15
0.05,0.00,1024,2022-08-24 17:25:16
0.04,0.00,1024,2022-08-24 17:25:17
0.05,0.00,1024,2022-08-24 17:25:18
0.05,0.00,1024,2022-08-24 17:25:19
0.05,0.00,1024,2022-08-24 17:25:20
0.05,0.00,1024,2022-08-24 17:25:21
0.05,0.00,1024,2022-08-24 17:25:22
0.04,0.00,1024,2022-08-24 17:25:23
0.04,0.00,1024,2022-08-24 17:25:24
0.04,0.00,1024,2022-08-24 17:25:25
0.04,0.00,1024,2022-08-24 17:25:26
0.05,0.00,1024,2022-08-24 17:25:27
0.03,0.00,1024,2022-08-24 17:25:28
0.03,0.00,1024,2022-08-24 17:25:29
0.03,0.00,1024,2022-08-24 17:25:30
0.05,0.00,1024,2022-08-24 17:25:31
0.04,0.00,1024,2022-08-24 17:25:32
0.04,0.00,1024,2022-08-24 17:25:33
0.04,0.00,1024,2022-08-24 17:25:34
0.04,0.00,1024,2022-08-24 17:25:35
0.04,0.00,1024,2022-08-24 17:25:36
0.04,0.00,1024,2022-08-24 17:25:37
0.04,0.00,1024,2022-08-24 17:25:38
0.04,0.00,1024,2022-08-24 17:25:39
0.04,0.00,1024,2022-08-24 17:25:40
0.04,0.00,1024,2022-08-24 17:25:41
0.03,0.00,1024,2022-08-24 17:25:42
0.03,0.00,1024,2022-08-24 17:25:43
0.04,0.00,1024,2022-08-24 17:25:44
0.04,0.00,1024,2022-08-24 17:25:45
0.04,0.00,1024,2022-08-24 17:25:46
0.03,100.00,1024,2022-08-24 17:25:47
0.03,100.00,852,2022-08-24 17:25:48
0.03,100.00,839,2022-08-24 17:25:49
0.03,100.00,826,2022-08-24 17:25:50
0.03,100.00,813,2022-08-24 17:25:51
0.03,100.00,800,2022-08-24 17:25:52
0.03,100.00,788,2022-08-24 17:25:53
0.03,100.00,775,2022-08-24 17:25:54
0.03,100.00,762,2022-08-24 17:25:55
0.03,100.00,749,2022-08-24 17:25:56
0.03,100.00,736,2022-08-24 17:25:57
0.03,100.00,724,2022-08-24 17:25:58
0.03,100.00,711,2022-08-24 17:25:59
0.02,100.00,698,2022-08-24 17:26:00
0.03,100.00,685,2022-08-24 17:26:01
0.02,100.00,672,2022-08-24 17:26:02
-0.56,100.00,660,2022-08-24 17:26:03
