,x,losses,acc,val_losses,val_acc
0,0,0.9668380618095398,0.8439868092536926,1.0158683061599731,0.8855088949203491
1,1,0.9574816823005676,0.8345036506652832,1.0066853761672974,0.8761427402496338
2,2,0.9479824900627136,0.8246240615844727,0.9977567791938782,0.866916835308075
3,3,0.9385655522346495,0.8150454163551331,0.9887626767158508,0.8575472831726074
4,4,0.9294478297233582,0.8054996728897095,0.9795629382133484,0.8478599190711975
5,5,0.9203121662139891,0.7957133650779724,0.9700726866722108,0.8377631902694702
6,6,0.9105231165885924,0.7852379679679871,0.9603347778320312,0.8272974491119385
7,7,0.9009371995925904,0.77476567029953,0.9502729177474976,0.816374659538269
8,8,0.8904054760932922,0.7633059620857239,0.9397068619728088,0.8048925399780273
9,9,0.8792811632156372,0.7513547539710999,0.9282575249671936,0.7925191521644592
10,10,0.8672454953193665,0.7383145689964294,0.915506899356842,0.7789516448974609
11,11,0.8538205623626709,0.7239274382591248,0.9010446071624756,0.7637127041816711
12,12,0.839154839515686,0.7082172632217407,0.8848945498466492,0.7468071579933167
13,13,0.8231083750724792,0.6913853883743286,0.86802738904953,0.7293873429298401
14,14,0.8072097301483154,0.6746742129325867,0.8520179986953735,0.713174045085907
15,15,0.7924957275390625,0.6594628095626831,0.8383086323738098,0.69954913854599
16,16,0.7788360118865967,0.6455199122428894,0.8272208571434021,0.6886131763458252
17,17,0.7673847079277039,0.6341108083724976,0.8181149363517761,0.6798747777938843
18,18,0.7578089833259583,0.6246024370193481,0.8102594614028931,0.6724336743354797
19,19,0.749302864074707,0.6164088249206543,0.8032544851303101,0.6658135056495667
20,20,0.741563618183136,0.6087058782577515,0.7967655658721924,0.6597331762313843
21,21,0.7344419360160828,0.6020258665084839,0.7906782627105713,0.6541111469268799
22,22,0.7281912565231323,0.5961852669715881,0.7848748564720154,0.6488093137741089
23,23,0.7214369177818298,0.589864194393158,0.779318630695343,0.6437953114509583
24,24,0.7153422832489014,0.5841048359870911,0.773955225944519,0.638978123664856
25,25,0.7096225023269653,0.5790006518363953,0.7688165903091431,0.6343978643417358
26,26,0.7042903900146484,0.574121356010437,0.7639263868331909,0.630108654499054
27,27,0.6988932490348816,0.5693078637123108,0.7592776417732239,0.6260876059532166
28,28,0.6935367584228516,0.5645512342453003,0.7547885775566101,0.6222512722015381
29,29,0.6886606216430664,0.5602823495864868,0.7504587769508362,0.6185765266418457
30,30,0.6839337944984436,0.5560969710350037,0.746277928352356,0.6150527000427246
31,31,0.6791242957115173,0.551915168762207,0.742242693901062,0.6117199659347534
32,32,0.67433762550354,0.5477520227432251,0.7383286356925964,0.6085345149040222
33,33,0.6701950430870056,0.5441116094589233,0.7345809936523438,0.6055304408073425
34,34,0.6662048101425171,0.5407970547676086,0.7309334874153137,0.6026378870010376
35,35,0.6620786786079407,0.5375149250030518,0.7274491786956787,0.5998939871788025
36,36,0.6578068733215332,0.5338983535766602,0.7240400910377502,0.5972456336021423
37,37,0.6541761755943298,0.530755341053009,0.7207934856414795,0.5947510004043579
38,38,0.6500104665756226,0.5275533199310303,0.7176304459571838,0.5923713445663452
39,39,0.6474426984786987,0.525381863117218,0.7146296501159668,0.5901579856872559
40,40,0.6430363655090332,0.5219787955284119,0.7117118835449219,0.5880308151245117
41,41,0.6396754384040833,0.5191908478736877,0.7089372873306274,0.586017370223999
42,42,0.6359020471572876,0.5161246061325073,0.7062565088272095,0.5841026306152344
43,43,0.632229208946228,0.5132498741149902,0.7037282586097717,0.5822997689247131
44,44,0.6295259594917297,0.5114360451698303,0.7012603282928467,0.5805941224098206
45,45,0.6271404027938843,0.5094860196113586,0.698945164680481,0.578968346118927
46,46,0.624107301235199,0.5073317289352417,0.6967353224754333,0.5774624347686768
47,47,0.6214181184768677,0.5056393146514893,0.6946628093719482,0.576046884059906
48,48,0.6195048689842224,0.5039681792259216,0.6926801204681396,0.574753999710083
49,49,0.6161375641822815,0.5012181997299194,0.6907734870910645,0.5734624266624451
50,50,0.6139583587646484,0.4996405243873596,0.6889989376068115,0.5722622275352478
51,51,0.6122246980667114,0.498584121465683,0.6873230338096619,0.5711616277694702
52,52,0.6097977161407471,0.4966595768928528,0.6857467889785767,0.5701346397399902
53,53,0.6084686517715454,0.4957188963890075,0.6842710971832275,0.569193422794342
54,54,0.604131817817688,0.4925793707370758,0.6828723549842834,0.5682916641235352
55,55,0.604138195514679,0.4928925037384033,0.6815720200538635,0.5674618482589722
56,56,0.6024238467216492,0.4917600750923157,0.6803624033927917,0.566699206829071
57,57,0.6005492806434631,0.4905570745468139,0.6792306900024414,0.5659918189048767
58,58,0.5986312031745911,0.4892249405384063,0.6781569123268127,0.5653448700904846
59,59,0.597191572189331,0.4882031977176666,0.6771658062934875,0.5647315979003906
60,60,0.5958406329154968,0.487239122390747,0.6762353777885437,0.5641865134239197
61,61,0.5950984954833984,0.4868717789649963,0.675377368927002,0.5636613965034485
62,62,0.5938065648078918,0.4861877858638763,0.6745840907096863,0.5632055401802063
63,63,0.5919555425643921,0.4849670529365539,0.6738436818122864,0.562762439250946
64,64,0.591893196105957,0.4848008751869201,0.6731608510017395,0.5623801350593567
65,65,0.58995521068573,0.4835765659809112,0.6725277900695801,0.5620256662368774
66,66,0.5887924432754517,0.4830471277236938,0.6719532012939453,0.5617188215255737
67,67,0.5875389575958252,0.4817186594009399,0.6714195609092712,0.5614215731620789
68,68,0.5862826704978943,0.4812500178813934,0.6709299087524414,0.5611846446990967
69,69,0.5854057669639587,0.4807392954826355,0.670463502407074,0.5609261393547058
70,70,0.5855906009674072,0.4810094535350799,0.6700528264045715,0.5607258677482605
71,71,0.5836473703384399,0.4795187711715698,0.6696750521659851,0.5605422258377075
72,72,0.5838962197303772,0.4797700047492981,0.6693407297134399,0.5604039430618286
73,73,0.5819323062896729,0.4789676368236542,0.6690223217010498,0.5602558851242065
74,74,0.5821573734283447,0.4791735112667084,0.6687398552894592,0.5601400136947632
75,75,0.5812844038009644,0.4788114130496979,0.6684848070144653,0.5600414276123047
76,76,0.5810205340385437,0.4784396588802337,0.6682558655738831,0.5599526166915894
77,77,0.5810965299606323,0.478810042142868,0.6680468916893005,0.5598804354667664
78,78,0.580298662185669,0.477981835603714,0.6678521037101746,0.5598019361495972
79,79,0.579609215259552,0.4775534570217132,0.6676846742630005,0.5597501397132874
80,80,0.5786678791046143,0.4771928191184997,0.6675312519073486,0.5597092509269714
81,81,0.5781011581420898,0.4769429266452789,0.6673992276191711,0.5596858859062195
82,82,0.5785603523254395,0.4772709012031555,0.6672844290733337,0.5596753358840942
83,83,0.5778171420097351,0.477005124092102,0.6671713590621948,0.559646487236023
84,84,0.5779224634170532,0.4771814048290252,0.667076051235199,0.5596432685852051
85,85,0.5767344832420349,0.476380318403244,0.6669942140579224,0.5596401691436768
86,86,0.5781340003013611,0.4774383902549743,0.6669172644615173,0.5596339702606201
87,87,0.5765096545219421,0.4764852821826935,0.6668491959571838,0.5596340894699097
88,88,0.5764774680137634,0.4764569699764251,0.6667800545692444,0.5596264004707336
89,89,0.5762186050415039,0.4762401580810547,0.6667335629463196,0.559642493724823
90,90,0.5754114985466003,0.4759801924228668,0.6666809320449829,0.5596442222595215
91,91,0.5756732821464539,0.4758663177490234,0.6666443943977356,0.5596602559089661
92,92,0.5755754709243774,0.4759953022003174,0.6666123270988464,0.5596753358840942
93,93,0.5748238563537598,0.4754966199398041,0.666577935218811,0.5596829652786255
94,94,0.5749861598014832,0.475758820772171,0.6665485501289368,0.5596940517425537
95,95,0.5743918418884277,0.4750909507274627,0.666521430015564,0.559704601764679
96,96,0.575491189956665,0.4758792519569397,0.666497528553009,0.5597156882286072
97,97,0.5757320523262024,0.4765460193157196,0.6664717197418213,0.5597256422042847
98,98,0.5741279721260071,0.4754427075386047,0.6664615273475647,0.5597537755966187
99,99,0.5731943845748901,0.4744552373886108,0.6664499640464783,0.5597735643386841
100,100,0.5744555592536926,0.4754368364810943,0.6664358973503113,0.5597904920578003
101,101,0.5730249881744385,0.4746742248535156,0.6664177179336548,0.5598002672195435
102,102,0.5743311643600464,0.4757667779922485,0.6664053201675415,0.5598163604736328
103,103,0.5735889077186584,0.4749707579612732,0.6663973927497864,0.5598307847976685
104,104,0.5734021067619324,0.4749285578727722,0.6663883924484253,0.559840738773346
105,105,0.5742330551147461,0.4755482375621795,0.6663811802864075,0.5598517060279846
106,106,0.5729476809501648,0.475096195936203,0.6663734316825867,0.5598595142364502
107,107,0.5728275179862976,0.4745683073997497,0.666364312171936,0.5598734021186829
108,108,0.5724178552627563,0.4746361374855041,0.6663628220558167,0.5598889589309692
109,109,0.5727106332778931,0.4742377400398254,0.6663513779640198,0.5598934292793274
110,110,0.5733904838562012,0.4751827716827392,0.6663331985473633,0.5598854422569275
111,111,0.5728870034217834,0.4747117161750793,0.6663262248039246,0.5598888993263245
112,112,0.5721811652183533,0.4743997454643249,0.6663087606430054,0.5598835349082947
113,113,0.5722624063491821,0.4743882417678833,0.6662909388542175,0.5598756670951843
114,114,0.5722728371620178,0.4747520089149475,0.6662917733192444,0.559884786605835
115,115,0.5727662444114685,0.4748357236385345,0.666291356086731,0.5598946213722229
116,116,0.5722233057022095,0.4746781885623932,0.6662918925285339,0.5598985552787781
117,117,0.5724181532859802,0.4742169976234436,0.6662806272506714,0.5598915219306946
118,118,0.572561502456665,0.4748688638210296,0.6662835478782654,0.5599064230918884
119,119,0.5719436407089233,0.4743273258209228,0.6663049459457397,0.5599337816238403
120,120,0.5718271136283875,0.4741609096527099,0.6663153171539307,0.5599514842033386
121,121,0.5722411274909973,0.4748164415359497,0.6663169264793396,0.5599611401557922
122,122,0.5716168284416199,0.4742394685745239,0.6663258075714111,0.5599763989448547
123,123,0.5709068775177002,0.47369384765625,0.6663350462913513,0.5599926114082336
