LV1,SPVolt,Output,Date,ST_Lv1
0,0,0,2022-10-19 10:42:00,0
99.37,100.00,570,2022-10-19 10:42:01,128
99.71,100.00,570,2022-10-19 10:42:02,128
99.71,100.00,570,2022-10-19 10:42:03,128
99.66,100.00,570,2022-10-19 10:42:04,128
99.66,100.00,570,2022-10-19 10:42:05,128
99.68,100.00,570,2022-10-19 10:42:06,128
99.68,100.00,570,2022-10-19 10:42:07,128
99.65,100.00,570,2022-10-19 10:42:08,128
99.58,100.00,570,2022-10-19 10:42:09,128
99.24,100.00,570,2022-10-19 10:42:10,128
99.24,100.00,570,2022-10-19 10:42:11,128
98.95,100.00,570,2022-10-19 10:42:12,128
98.95,100.00,570,2022-10-19 10:42:13,128
98.81,100.00,567,2022-10-19 10:42:14,128
98.70,100.00,567,2022-10-19 10:42:15,128
98.54,100.00,567,2022-10-19 10:42:16,128
98.54,100.00,567,2022-10-19 10:42:17,128
98.77,100.00,567,2022-10-19 10:42:18,128
98.77,100.00,567,2022-10-19 10:42:19,128
99.13,100.00,567,2022-10-19 10:42:20,128
99.13,100.00,567,2022-10-19 10:42:21,128
99.36,100.00,567,2022-10-19 10:42:22,128
99.36,100.00,567,2022-10-19 10:42:23,128
99.38,100.00,567,2022-10-19 10:42:24,128
99.38,100.00,567,2022-10-19 10:42:25,128
99.47,100.00,567,2022-10-19 10:42:26,128
99.47,100.00,567,2022-10-19 10:42:27,128
99.70,100.00,567,2022-10-19 10:42:28,128
99.70,100.00,567,2022-10-19 10:42:29,128
99.80,100.00,567,2022-10-19 10:42:30,128
99.80,100.00,567,2022-10-19 10:42:31,128
99.83,100.00,567,2022-10-19 10:42:32,128
99.83,100.00,567,2022-10-19 10:42:33,128
99.83,100.00,567,2022-10-19 10:42:34,128
99.81,100.00,567,2022-10-19 10:42:35,128
99.80,100.00,567,2022-10-19 10:42:36,128
99.80,100.00,567,2022-10-19 10:42:37,128
99.83,100.00,567,2022-10-19 10:42:38,128
99.83,100.00,567,2022-10-19 10:42:39,128
99.79,100.00,567,2022-10-19 10:42:40,128
99.73,100.00,567,2022-10-19 10:42:41,128
99.60,100.00,567,2022-10-19 10:42:42,128
99.60,100.00,567,2022-10-19 10:42:43,128
99.51,100.00,567,2022-10-19 10:42:44,128
99.51,100.00,567,2022-10-19 10:42:45,128
99.51,100.00,567,2022-10-19 10:42:46,128
99.55,100.00,567,2022-10-19 10:42:47,128
99.72,100.00,567,2022-10-19 10:42:48,128
99.72,100.00,567,2022-10-19 10:42:49,128
99.81,100.00,567,2022-10-19 10:42:50,128
99.81,100.00,567,2022-10-19 10:42:51,128
99.80,100.00,567,2022-10-19 10:42:52,128
