LV1,SPVolt,Output,Date
100.72,100.00,602,2022-08-09 16:16:35.362580
100.73,100.00,602,2022-08-09 16:16:36.322635
100.73,100.00,602,2022-08-09 16:16:37.334692
100.77,100.00,602,2022-08-09 16:16:38.369752
100.83,100.00,602,2022-08-09 16:16:39.321806
100.83,100.00,602,2022-08-09 16:16:40.340864
100.71,100.00,602,2022-08-09 16:16:41.343922
100.67,100.00,602,2022-08-09 16:16:42.361980
100.61,100.00,602,2022-08-09 16:16:43.353037
100.52,100.00,602,2022-08-09 16:16:44.353094
100.31,100.00,602,2022-08-09 16:16:45.342150
100.17,100.00,602,2022-08-09 16:16:46.332207
100.17,100.00,602,2022-08-09 16:16:47.332264
100.07,100.00,602,2022-08-09 16:16:48.337322
100.00,100.00,602,2022-08-09 16:16:49.339379
99.96,100.00,602,2022-08-09 16:16:50.333436
99.88,100.00,602,2022-08-09 16:16:51.361495
99.86,100.00,602,2022-08-09 16:16:52.346551
99.76,100.00,602,2022-08-09 16:16:53.397611
99.68,100.00,602,2022-08-09 16:16:54.343665
99.68,100.00,602,2022-08-09 16:16:55.328722
99.64,100.00,602,2022-08-09 16:16:56.351780
99.60,100.00,602,2022-08-09 16:16:57.351837
99.55,100.00,602,2022-08-09 16:16:58.346894
99.62,100.00,602,2022-08-09 16:16:59.346951
99.61,100.00,602,2022-08-09 16:17:00.345009
99.67,100.00,602,2022-08-09 16:17:01.380068
99.59,100.00,602,2022-08-09 16:17:02.345123
99.51,100.00,602,2022-08-09 16:17:03.343180
99.38,100.00,602,2022-08-09 16:17:04.359238
99.28,100.00,599,2022-08-09 16:17:05.352295
99.22,100.00,599,2022-08-09 16:17:06.337351
99.21,100.00,599,2022-08-09 16:17:07.346409
99.21,100.00,599,2022-08-09 16:17:08.342466
99.29,100.00,599,2022-08-09 16:17:09.336523
99.24,100.00,599,2022-08-09 16:17:10.330580
99.34,100.00,599,2022-08-09 16:17:11.369639
99.45,100.00,599,2022-08-09 16:17:12.336694
99.73,100.00,599,2022-08-09 16:17:13.347752
99.80,100.00,599,2022-08-09 16:17:14.353810
99.89,100.00,602,2022-08-09 16:17:15.335866
99.87,100.00,602,2022-08-09 16:17:16.339923
99.94,100.00,602,2022-08-09 16:17:17.345981
99.97,100.00,602,2022-08-09 16:17:18.415042
99.97,100.00,602,2022-08-09 16:17:19.346095
99.94,100.00,602,2022-08-09 16:17:20.374154
99.78,100.00,599,2022-08-09 16:17:21.347210
99.72,100.00,599,2022-08-09 16:17:22.365268
99.44,100.00,599,2022-08-09 16:17:23.336324
99.38,100.00,599,2022-08-09 16:17:24.342381
99.38,100.00,599,2022-08-09 16:17:25.342438
99.40,100.00,599,2022-08-09 16:17:26.350496
99.48,100.00,599,2022-08-09 16:17:27.337552
99.54,100.00,599,2022-08-09 16:17:28.358611
99.79,100.00,599,2022-08-09 16:17:29.422672
99.79,100.00,599,2022-08-09 16:17:30.329724
99.94,100.00,599,2022-08-09 16:17:31.355782
100.02,100.00,599,2022-08-09 16:17:32.328838
100.15,100.00,599,2022-08-09 16:17:33.336896
100.32,100.00,602,2022-08-09 16:17:34.333953
100.32,100.00,602,2022-08-09 16:17:35.386013
100.39,100.00,602,2022-08-09 16:17:36.345068
100.59,100.00,602,2022-08-09 16:17:37.350125
100.59,100.00,602,2022-08-09 16:17:38.349182
100.47,100.00,602,2022-08-09 16:17:39.340239
100.32,100.00,602,2022-08-09 16:17:40.337296
100.18,100.00,602,2022-08-09 16:17:41.360354
100.00,100.00,602,2022-08-09 16:17:42.347411
99.69,100.00,599,2022-08-09 16:17:43.324467
99.51,100.00,599,2022-08-09 16:17:44.340525
99.42,100.00,599,2022-08-09 16:17:45.349583
99.37,100.00,599,2022-08-09 16:17:46.348640
99.41,100.00,599,2022-08-09 16:17:47.348697
99.54,100.00,599,2022-08-09 16:17:48.341754
99.61,100.00,599,2022-08-09 16:17:49.373813
99.66,100.00,599,2022-08-09 16:17:50.339868
99.66,100.00,599,2022-08-09 16:17:51.333925
99.75,100.00,599,2022-08-09 16:17:52.335982
99.82,100.00,599,2022-08-09 16:17:53.354040
99.84,100.00,599,2022-08-09 16:17:54.355098
99.95,100.00,599,2022-08-09 16:17:55.347154
100.01,100.00,599,2022-08-09 16:17:56.343211
100.01,100.00,599,2022-08-09 16:17:57.347269
99.99,100.00,599,2022-08-09 16:17:58.330325
100.01,100.00,599,2022-08-09 16:17:59.336383
100.06,100.00,599,2022-08-09 16:18:00.331440
100.07,100.00,599,2022-08-09 16:18:01.346498
100.09,100.00,599,2022-08-09 16:18:02.341555
100.08,100.00,599,2022-08-09 16:18:03.358613
100.13,100.00,599,2022-08-09 16:18:04.326668
100.11,100.00,599,2022-08-09 16:18:05.321725
100.13,100.00,599,2022-08-09 16:18:06.329783
100.13,100.00,599,2022-08-09 16:18:07.327840
100.13,100.00,599,2022-08-09 16:18:08.332897
100.17,100.00,599,2022-08-09 16:18:09.381957
100.16,100.00,599,2022-08-09 16:18:10.341012
100.30,100.00,602,2022-08-09 16:18:11.328069
100.37,100.00,602,2022-08-09 16:18:12.348127
100.42,100.00,602,2022-08-09 16:18:13.347184
100.35,100.00,602,2022-08-09 16:18:14.353242
100.35,100.00,602,2022-08-09 16:18:15.351299
100.31,100.00,602,2022-08-09 16:18:16.356356
100.13,100.00,602,2022-08-09 16:18:17.340412
100.02,100.00,599,2022-08-09 16:18:18.332469
99.63,100.00,599,2022-08-09 16:18:19.327526
99.39,100.00,599,2022-08-09 16:18:20.335584
99.30,100.00,599,2022-08-09 16:18:21.375643
99.20,100.00,599,2022-08-09 16:18:22.342699
99.15,100.00,599,2022-08-09 16:18:23.338755
99.14,100.00,599,2022-08-09 16:18:24.342813
99.31,100.00,599,2022-08-09 16:18:25.334870
99.38,100.00,599,2022-08-09 16:18:26.343927
99.30,100.00,599,2022-08-09 16:18:27.358985
99.34,100.00,599,2022-08-09 16:18:28.337041
99.34,100.00,599,2022-08-09 16:18:29.325098
99.39,100.00,599,2022-08-09 16:18:30.325155
99.39,100.00,599,2022-08-09 16:18:31.333213
99.39,100.00,599,2022-08-09 16:18:32.333270
99.40,100.00,599,2022-08-09 16:18:33.325327
99.45,100.00,599,2022-08-09 16:18:34.338385
99.51,100.00,599,2022-08-09 16:18:35.332441
99.62,100.00,599,2022-08-09 16:18:36.358500
99.74,100.00,599,2022-08-09 16:18:37.335556
99.73,100.00,599,2022-08-09 16:18:38.335613
99.73,100.00,599,2022-08-09 16:18:39.320670
99.75,100.00,599,2022-08-09 16:18:40.334728
99.86,100.00,599,2022-08-09 16:18:41.319784
99.89,100.00,599,2022-08-09 16:18:42.329842
99.90,100.00,599,2022-08-09 16:18:43.330899
99.89,100.00,599,2022-08-09 16:18:44.346957
99.89,100.00,599,2022-08-09 16:18:45.351015
99.86,100.00,599,2022-08-09 16:18:46.340071
99.83,100.00,599,2022-08-09 16:18:47.343128
99.82,100.00,599,2022-08-09 16:18:48.337185
99.69,100.00,599,2022-08-09 16:18:49.337243
99.69,100.00,599,2022-08-09 16:18:50.336300
99.72,100.00,599,2022-08-09 16:18:51.346357
99.72,100.00,599,2022-08-09 16:18:52.328414
99.67,100.00,599,2022-08-09 16:18:53.338471
99.67,100.00,599,2022-08-09 16:18:54.338529
99.67,100.00,599,2022-08-09 16:18:55.339586
99.34,100.00,596,2022-08-09 16:18:56.329642
99.34,100.00,596,2022-08-09 16:18:57.332700
99.03,100.00,596,2022-08-09 16:18:58.330757
98.92,100.00,596,2022-08-09 16:18:59.325814
99.00,100.00,596,2022-08-09 16:19:00.344872
99.16,100.00,596,2022-08-09 16:19:01.349930
99.30,100.00,596,2022-08-09 16:19:02.324985
99.44,100.00,596,2022-08-09 16:19:03.320042
99.63,100.00,596,2022-08-09 16:19:04.335100
99.95,100.00,599,2022-08-09 16:19:05.327157
99.95,100.00,599,2022-08-09 16:19:06.337215
100.09,100.00,599,2022-08-09 16:19:07.337272
100.09,100.00,599,2022-08-09 16:19:08.353330
100.24,100.00,599,2022-08-09 16:19:09.333386
100.13,100.00,599,2022-08-09 16:19:10.339444
100.10,100.00,599,2022-08-09 16:19:11.326500
100.03,100.00,599,2022-08-09 16:19:12.327557
99.89,100.00,599,2022-08-09 16:19:13.355616
99.71,100.00,596,2022-08-09 16:19:14.338673
