LV1,SPVolt,Output,Date,ST_Lv1
100.16,100.00,576,2022-11-10 09:43:29,128
100.16,100.00,576,2022-11-10 09:43:30,128
99.96,100.00,576,2022-11-10 09:43:31,128
99.96,100.00,576,2022-11-10 09:43:32,128
99.82,100.00,576,2022-11-10 09:43:33,128
99.82,100.00,576,2022-11-10 09:43:34,128
99.81,100.00,576,2022-11-10 09:43:35,128
99.81,100.00,576,2022-11-10 09:43:36,128
99.79,100.00,576,2022-11-10 09:43:37,128
99.90,100.00,576,2022-11-10 09:43:38,128
100.11,100.00,576,2022-11-10 09:43:39,128
100.11,100.00,576,2022-11-10 09:43:40,128
100.08,100.00,576,2022-11-10 09:43:41,128
100.08,100.00,576,2022-11-10 09:43:42,128
100.07,100.00,576,2022-11-10 09:43:43,128
100.07,100.00,576,2022-11-10 09:43:44,128
100.14,100.00,576,2022-11-10 09:43:45,128
100.14,100.00,576,2022-11-10 09:43:46,128
100.03,100.00,576,2022-11-10 09:43:47,128
100.03,100.00,576,2022-11-10 09:43:48,128
100.04,100.00,576,2022-11-10 09:43:49,128
100.04,100.00,576,2022-11-10 09:43:50,128
100.23,100.00,576,2022-11-10 09:43:51,128
100.23,100.00,576,2022-11-10 09:43:52,128
100.42,100.00,576,2022-11-10 09:43:53,128
100.59,100.00,576,2022-11-10 09:43:54,128
101.05,100.00,580,2022-11-10 09:43:55,128
101.05,100.00,580,2022-11-10 09:43:56,128
101.34,100.00,580,2022-11-10 09:43:57,128
101.34,100.00,580,2022-11-10 09:43:58,128
101.30,100.00,580,2022-11-10 09:43:59,128
101.30,100.00,580,2022-11-10 09:44:00,128
101.15,100.00,580,2022-11-10 09:44:01,128
100.95,100.00,580,2022-11-10 09:44:02,128
100.55,100.00,580,2022-11-10 09:44:03,128
100.55,100.00,580,2022-11-10 09:44:04,128
100.21,100.00,580,2022-11-10 09:44:05,128
100.21,100.00,580,2022-11-10 09:44:06,128
99.67,100.00,580,2022-11-10 09:44:07,128
99.67,100.00,580,2022-11-10 09:44:08,128
99.46,100.00,580,2022-11-10 09:44:09,128
99.24,100.00,576,2022-11-10 09:44:10,128
98.90,100.00,576,2022-11-10 09:44:11,128
98.90,100.00,576,2022-11-10 09:44:12,128
98.80,100.00,576,2022-11-10 09:44:13,128
98.80,100.00,576,2022-11-10 09:44:14,128
98.91,100.00,576,2022-11-10 09:44:15,128
98.91,100.00,576,2022-11-10 09:44:16,128
98.97,100.00,576,2022-11-10 09:44:17,128
99.01,100.00,576,2022-11-10 09:44:18,128
99.08,100.00,576,2022-11-10 09:44:19,128
99.08,100.00,576,2022-11-10 09:44:20,128
99.24,100.00,576,2022-11-10 09:44:21,128
99.24,100.00,576,2022-11-10 09:44:22,128
99.46,100.00,576,2022-11-10 09:44:23,128
99.46,100.00,576,2022-11-10 09:44:24,128
99.60,100.00,576,2022-11-10 09:44:25,128
99.71,100.00,576,2022-11-10 09:44:26,128
99.76,100.00,576,2022-11-10 09:44:27,128
99.76,100.00,576,2022-11-10 09:44:28,128
99.79,100.00,576,2022-11-10 09:44:29,128
99.79,100.00,576,2022-11-10 09:44:30,128
99.93,100.00,576,2022-11-10 09:44:31,128
99.93,100.00,576,2022-11-10 09:44:32,128
99.94,100.00,576,2022-11-10 09:44:33,128
100.02,100.00,576,2022-11-10 09:44:34,128
100.27,100.00,576,2022-11-10 09:44:35,128
100.27,100.00,576,2022-11-10 09:44:36,128
100.39,100.00,576,2022-11-10 09:44:37,128
100.39,100.00,576,2022-11-10 09:44:38,128
100.51,100.00,576,2022-11-10 09:44:39,128
100.51,100.00,576,2022-11-10 09:44:40,128
100.47,100.00,576,2022-11-10 09:44:41,128
100.40,100.00,576,2022-11-10 09:44:42,128
100.26,100.00,576,2022-11-10 09:44:43,128
