LV1,SPVolt,Output,Date
98.73,100.00,573,2022-08-02 17:48:38.312762
98.66,100.00,573,2022-08-02 17:48:39.322819
98.79,100.00,573,2022-08-02 17:48:40.307876
98.96,100.00,573,2022-08-02 17:48:41.311933
99.09,100.00,573,2022-08-02 17:48:42.309990
99.41,100.00,573,2022-08-02 17:48:43.315048
99.57,100.00,573,2022-08-02 17:48:44.313105
99.79,100.00,576,2022-08-02 17:48:45.312162
99.79,100.00,576,2022-08-02 17:48:46.322220
99.79,100.00,576,2022-08-02 17:48:47.322277
100.05,100.00,576,2022-08-02 17:48:48.307333
100.10,100.00,576,2022-08-02 17:48:49.307391
100.10,100.00,576,2022-08-02 17:48:50.307448
99.98,100.00,576,2022-08-02 17:48:51.307505
99.84,100.00,576,2022-08-02 17:48:52.322563
99.73,100.00,576,2022-08-02 17:48:53.307619
99.58,100.00,573,2022-08-02 17:48:54.322677
99.50,100.00,573,2022-08-02 17:48:55.322735
99.36,100.00,573,2022-08-02 17:48:56.307791
99.25,100.00,573,2022-08-02 17:48:57.322849
99.25,100.00,573,2022-08-02 17:48:58.311906
99.27,100.00,573,2022-08-02 17:48:59.311963
99.27,100.00,573,2022-08-02 17:49:00.312020
99.38,100.00,573,2022-08-02 17:49:01.309077
99.50,100.00,573,2022-08-02 17:49:02.322135
99.72,100.00,573,2022-08-02 17:49:03.322192
99.88,100.00,573,2022-08-02 17:49:04.323249
100.00,100.00,573,2022-08-02 17:49:05.322307
100.19,100.00,576,2022-08-02 17:49:06.322364
100.38,100.00,576,2022-08-02 17:49:07.307420
100.38,100.00,576,2022-08-02 17:49:08.322478
100.38,100.00,576,2022-08-02 17:49:09.482544
100.38,100.00,576,2022-08-02 17:49:10.322593
100.75,100.00,576,2022-08-02 17:49:11.316649
100.75,100.00,576,2022-08-02 17:49:12.316707
100.70,100.00,576,2022-08-02 17:49:13.317764
100.68,100.00,576,2022-08-02 17:49:14.312821
100.64,100.00,576,2022-08-02 17:49:15.323879
100.62,100.00,576,2022-08-02 17:49:16.311935
100.58,100.00,576,2022-08-02 17:49:17.321993
100.59,100.00,576,2022-08-02 17:49:18.313050
100.59,100.00,576,2022-08-02 17:49:19.312107
100.59,100.00,576,2022-08-02 17:49:20.312164
100.53,100.00,576,2022-08-02 17:49:21.307221
100.52,100.00,576,2022-08-02 17:49:22.307278
100.38,100.00,576,2022-08-02 17:49:23.307335
100.24,100.00,576,2022-08-02 17:49:24.321393
100.08,100.00,576,2022-08-02 17:49:25.324451
99.88,100.00,576,2022-08-02 17:49:26.307507
99.88,100.00,576,2022-08-02 17:49:27.321565
99.57,100.00,576,2022-08-02 17:49:28.311621
99.10,100.00,573,2022-08-02 17:49:29.306678
98.88,100.00,573,2022-08-02 17:49:30.325737
98.70,100.00,573,2022-08-02 17:49:31.318793
98.70,100.00,573,2022-08-02 17:49:32.316851
98.41,100.00,573,2022-08-02 17:49:33.311907
98.42,100.00,573,2022-08-02 17:49:34.306964
98.38,100.00,573,2022-08-02 17:49:35.307022
98.39,100.00,573,2022-08-02 17:49:36.307079
98.39,100.00,570,2022-08-02 17:49:37.311136
98.40,100.00,570,2022-08-02 17:49:38.316194
98.47,100.00,570,2022-08-02 17:49:39.307250
98.54,100.00,570,2022-08-02 17:49:40.311308
98.54,100.00,570,2022-08-02 17:49:41.312365
98.54,100.00,570,2022-08-02 17:49:42.321423
98.75,100.00,570,2022-08-02 17:49:43.316480
98.75,100.00,570,2022-08-02 17:49:44.306536
99.16,100.00,570,2022-08-02 17:49:45.321594
99.16,100.00,570,2022-08-02 17:49:46.306651
99.22,100.00,570,2022-08-02 17:49:47.308708
99.27,100.00,570,2022-08-02 17:49:48.323766
99.37,100.00,570,2022-08-02 17:49:49.311823
99.39,100.00,570,2022-08-02 17:49:50.306880
99.39,100.00,570,2022-08-02 17:49:51.306937
99.50,100.00,570,2022-08-02 17:49:52.316994
99.64,100.00,570,2022-08-02 17:49:53.316052
99.64,100.00,570,2022-08-02 17:49:54.306108
99.87,100.00,573,2022-08-02 17:49:55.316166
99.98,100.00,573,2022-08-02 17:49:56.316223
100.05,100.00,573,2022-08-02 17:49:57.306280
100.05,100.00,573,2022-08-02 17:49:58.311337
100.05,100.00,573,2022-08-02 17:49:59.321395
100.00,100.00,573,2022-08-02 17:50:00.316452
99.85,100.00,573,2022-08-02 17:50:01.306509
99.78,100.00,570,2022-08-02 17:50:02.311566
99.68,100.00,570,2022-08-02 17:50:03.321624
99.56,100.00,570,2022-08-02 17:50:04.311681
99.52,100.00,570,2022-08-02 17:50:05.311738
99.60,100.00,570,2022-08-02 17:50:06.310795
99.60,100.00,570,2022-08-02 17:50:07.320853
99.67,100.00,570,2022-08-02 17:50:08.315910
99.84,100.00,570,2022-08-02 17:50:09.306966
99.99,100.00,573,2022-08-02 17:50:10.306023
100.27,100.00,573,2022-08-02 17:50:11.306081
100.42,100.00,573,2022-08-02 17:50:12.311138
100.42,100.00,573,2022-08-02 17:50:13.322196
100.41,100.00,573,2022-08-02 17:50:14.311252
100.36,100.00,573,2022-08-02 17:50:15.478319
100.37,100.00,573,2022-08-02 17:50:16.306367
100.34,100.00,573,2022-08-02 17:50:17.316424
100.24,100.00,573,2022-08-02 17:50:18.322482
100.18,100.00,573,2022-08-02 17:50:19.310538
100.15,100.00,573,2022-08-02 17:50:20.310596
100.06,100.00,573,2022-08-02 17:50:21.305653
100.03,100.00,573,2022-08-02 17:50:22.307710
99.97,100.00,573,2022-08-02 17:50:23.320768
99.99,100.00,573,2022-08-02 17:50:24.305824
99.99,100.00,573,2022-08-02 17:50:25.320882
99.99,100.00,573,2022-08-02 17:50:26.315939
100.01,100.00,573,2022-08-02 17:50:27.310996
100.01,100.00,573,2022-08-02 17:50:28.311053
99.95,100.00,573,2022-08-02 17:50:29.306110
99.93,100.00,573,2022-08-02 17:50:30.311168
99.93,100.00,573,2022-08-02 17:50:31.321225
99.89,100.00,573,2022-08-02 17:50:32.315282
99.88,100.00,573,2022-08-02 17:50:33.316340
99.90,100.00,573,2022-08-02 17:50:34.308396
99.96,100.00,573,2022-08-02 17:50:35.316454
100.07,100.00,573,2022-08-02 17:50:36.310511
100.12,100.00,573,2022-08-02 17:50:37.320569
100.12,100.00,573,2022-08-02 17:50:38.479635
100.27,100.00,573,2022-08-02 17:50:39.322683
100.27,100.00,573,2022-08-02 17:50:40.310740
100.47,100.00,573,2022-08-02 17:50:41.310797
100.56,100.00,573,2022-08-02 17:50:42.305854
100.60,100.00,573,2022-08-02 17:50:43.320912
100.66,100.00,573,2022-08-02 17:50:44.305968
100.69,100.00,573,2022-08-02 17:50:45.306025
100.64,100.00,573,2022-08-02 17:50:46.315083
100.71,100.00,573,2022-08-02 17:50:47.321141
100.71,100.00,573,2022-08-02 17:50:48.315197
100.78,100.00,573,2022-08-02 17:50:49.321255
100.84,100.00,573,2022-08-02 17:50:50.320312
100.90,100.00,573,2022-08-02 17:50:51.308369
100.91,100.00,573,2022-08-02 17:50:52.318426
101.04,100.00,576,2022-08-02 17:50:53.310483
101.16,100.00,576,2022-08-02 17:50:54.305540
101.28,100.00,576,2022-08-02 17:50:55.311598
101.37,100.00,576,2022-08-02 17:50:56.321655
101.48,100.00,576,2022-08-02 17:50:57.320712
101.45,100.00,576,2022-08-02 17:50:58.320770
101.45,100.00,576,2022-08-02 17:50:59.320827
101.28,100.00,576,2022-08-02 17:51:00.310884
101.09,100.00,576,2022-08-02 17:51:01.320941
101.09,100.00,576,2022-08-02 17:51:02.309998
100.72,100.00,576,2022-08-02 17:51:03.308055
100.72,100.00,576,2022-08-02 17:51:04.321113
100.54,100.00,576,2022-08-02 17:51:05.310169
100.46,100.00,576,2022-08-02 17:51:06.310227
100.36,100.00,576,2022-08-02 17:51:07.320284
100.21,100.00,576,2022-08-02 17:51:08.315341
100.00,100.00,576,2022-08-02 17:51:09.306398
99.94,100.00,576,2022-08-02 17:51:10.305455
99.94,100.00,576,2022-08-02 17:51:11.484523
99.94,100.00,576,2022-08-02 17:51:12.305570
99.80,100.00,573,2022-08-02 17:51:13.310627
99.51,100.00,573,2022-08-02 17:51:14.315685
99.29,100.00,573,2022-08-02 17:51:15.314742
99.16,100.00,573,2022-08-02 17:51:16.304798
99.10,100.00,573,2022-08-02 17:51:17.310856
99.10,100.00,573,2022-08-02 17:51:18.309913
99.10,100.00,573,2022-08-02 17:51:19.314970
99.10,100.00,573,2022-08-02 17:51:20.315028
99.15,100.00,573,2022-08-02 17:51:21.305084
99.25,100.00,573,2022-08-02 17:51:22.310142
99.33,100.00,573,2022-08-02 17:51:23.315199
99.42,100.00,573,2022-08-02 17:51:24.322257
99.48,100.00,573,2022-08-02 17:51:25.310313
99.59,100.00,573,2022-08-02 17:51:26.310371
99.93,100.00,573,2022-08-02 17:51:27.305428
99.93,100.00,573,2022-08-02 17:51:28.310485
100.13,100.00,573,2022-08-02 17:51:29.484552
100.20,100.00,573,2022-08-02 17:51:30.305599
100.37,100.00,573,2022-08-02 17:51:31.304656
100.46,100.00,573,2022-08-02 17:51:32.304713
100.60,100.00,576,2022-08-02 17:51:33.309771
100.63,100.00,576,2022-08-02 17:51:34.305828
100.63,100.00,576,2022-08-02 17:51:35.305885
100.63,100.00,576,2022-08-02 17:51:36.306942
100.77,100.00,576,2022-08-02 17:51:37.310000
100.70,100.00,576,2022-08-02 17:51:38.327058
100.57,100.00,576,2022-08-02 17:51:39.310114
100.45,100.00,576,2022-08-02 17:51:41.177221
100.32,100.00,576,2022-08-02 17:51:41.370232
100.32,100.00,576,2022-08-02 17:51:42.320286
