LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
98.72,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:16.512440
98.81,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:17.513497
98.92,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:18.512554
99.07,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:19.512612
99.16,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:20.513669
99.23,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:21.516726
99.27,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:22.512783
99.27,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:23.517841
99.24,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:24.512898
99.23,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:25.512955
99.24,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:26.514012
99.27,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:27.514069
99.26,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:28.514126
99.21,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:29.513184
99.17,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:30.516241
99.18,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:31.530299
99.22,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:32.513355
99.24,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:33.523413
99.36,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:34.513470
99.44,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:35.513527
99.54,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:36.516584
99.64,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:37.513641
99.64,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:38.513698
99.72,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:39.705767
99.81,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:40.704824
99.90,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:41.704881
99.94,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:42.704938
100.03,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:43.706995
100.02,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 16:14:44.705052
