LV1,SPVolt,Output,Date
100.84,100.00,608,16:25:08
100.91,100.00,608,16:25:09
100.91,100.00,608,16:25:10
100.90,100.00,608,16:25:11
100.84,100.00,608,16:25:12
100.68,100.00,608,16:25:13
100.68,100.00,608,16:25:14
100.66,100.00,608,16:25:15
100.51,100.00,608,16:25:16
100.38,100.00,608,16:25:17
100.38,100.00,608,16:25:18
100.26,100.00,608,16:25:19
100.26,100.00,608,16:25:20
100.10,100.00,608,16:25:21
100.10,100.00,608,16:25:22
99.73,100.00,608,16:25:23
99.73,100.00,605,16:25:24
99.61,100.00,605,16:25:25
99.54,100.00,605,16:25:26
99.47,100.00,605,16:25:27
99.38,100.00,605,16:25:28
99.34,100.00,605,16:25:29
99.32,100.00,605,16:25:30
99.42,100.00,605,16:25:31
99.42,100.00,605,16:25:32
99.53,100.00,605,16:25:33
99.55,100.00,605,16:25:34
99.75,100.00,605,16:25:35
99.75,100.00,605,16:25:36
99.75,100.00,605,16:25:37
99.78,100.00,605,16:25:38
99.93,100.00,605,16:25:39
99.93,100.00,605,16:25:40
100.03,100.00,605,16:25:41
100.03,100.00,605,16:25:42
100.13,100.00,605,16:25:43
100.13,100.00,605,16:25:44
100.21,100.00,605,16:25:45
100.21,100.00,605,16:25:46
100.38,100.00,605,16:25:47
100.37,100.00,605,16:25:48
100.32,100.00,605,16:25:49
100.32,100.00,605,16:25:50
100.32,100.00,605,16:25:51
100.38,100.00,608,16:25:52
100.65,100.00,608,16:25:53
100.65,100.00,608,16:25:54
100.65,100.00,608,16:25:55
100.69,100.00,608,16:25:56
100.69,100.00,608,16:25:57
100.29,100.00,608,16:25:58
100.17,100.00,608,16:25:59
99.84,100.00,608,16:26:00
99.84,100.00,605,16:26:01
99.47,100.00,605,16:26:02
99.15,100.00,605,16:26:03
99.15,100.00,605,16:26:04
99.10,100.00,605,16:26:05
99.10,100.00,605,16:26:06
98.97,100.00,605,16:26:07
99.00,100.00,605,16:26:08
99.09,100.00,605,16:26:09
99.12,100.00,605,16:26:10
99.25,100.00,605,16:26:11
99.25,100.00,605,16:26:12
99.52,100.00,605,16:26:13
99.52,100.00,605,16:26:14
99.53,100.00,605,16:26:15
99.59,100.00,605,16:26:16
99.69,100.00,605,16:26:17
99.69,100.00,605,16:26:18
99.73,100.00,605,16:26:19
99.73,100.00,605,16:26:20
99.83,100.00,605,16:26:21
99.83,100.00,605,16:26:22
99.89,100.00,605,16:26:23
99.89,100.00,605,16:26:24
99.70,100.00,605,16:26:25
99.70,100.00,605,16:26:26
99.58,100.00,605,16:26:27
99.46,100.00,605,16:26:28
99.35,100.00,605,16:26:29
99.33,100.00,605,16:26:30
99.22,100.00,605,16:26:31
99.12,100.00,602,16:26:32
98.86,100.00,602,16:26:33
98.86,100.00,602,16:26:34
99.00,100.00,602,16:26:35
99.00,100.00,602,16:26:36
99.16,100.00,602,16:26:37
99.51,100.00,602,16:26:38
99.72,100.00,602,16:26:39
99.72,100.00,602,16:26:40
99.81,100.00,602,16:26:41
99.87,100.00,602,16:26:42
99.88,100.00,602,16:26:43
99.96,100.00,602,16:26:44
100.04,100.00,605,16:26:45
100.04,100.00,605,16:26:46
100.16,100.00,605,16:26:47
100.16,100.00,605,16:26:48
100.09,100.00,605,16:26:49
99.97,100.00,605,16:26:50
99.56,100.00,605,16:26:51
99.56,100.00,602,16:26:52
99.35,100.00,602,16:26:53
99.19,100.00,602,16:26:54
99.16,100.00,602,16:26:55
99.16,100.00,602,16:26:56
99.37,100.00,602,16:26:57
99.37,100.00,602,16:26:58
99.30,100.00,602,16:26:59
99.30,100.00,602,16:27:00
99.30,100.00,602,16:27:01
99.35,100.00,602,16:27:02
99.46,100.00,602,16:27:03
99.53,100.00,602,16:27:04
99.53,100.00,602,16:27:05
99.69,100.00,602,16:27:06
99.92,100.00,602,16:27:07
99.92,100.00,602,16:27:08
100.05,100.00,602,16:27:09
100.05,100.00,602,16:27:10
100.05,100.00,602,16:27:11
100.19,100.00,602,16:27:12
100.11,100.00,602,16:27:13
100.12,100.00,602,16:27:14
100.22,100.00,602,16:27:15
100.33,100.00,602,16:27:16
100.47,100.00,602,16:27:17
100.47,100.00,602,16:27:18
100.63,100.00,602,16:27:19
100.63,100.00,605,16:27:20
100.70,100.00,605,16:27:21
100.70,100.00,605,16:27:22
100.74,100.00,605,16:27:23
100.59,100.00,605,16:27:24
100.57,100.00,605,16:27:25
100.50,100.00,605,16:27:26
100.34,100.00,605,16:27:27
100.08,100.00,605,16:27:28
99.96,100.00,602,16:27:29
99.96,100.00,602,16:27:30
99.99,100.00,602,16:27:31
99.99,100.00,602,16:27:32
100.02,100.00,602,16:27:33
100.12,100.00,602,16:27:34
100.12,100.00,605,16:27:35
100.45,100.00,605,16:27:36
100.45,100.00,605,16:27:37
100.56,100.00,605,16:27:38
100.38,100.00,605,16:27:39
100.38,100.00,605,16:27:40
100.11,100.00,605,16:27:41
100.11,100.00,605,16:27:42
99.87,100.00,605,16:27:43
99.87,100.00,602,16:27:44
99.25,100.00,602,16:27:45
99.25,100.00,602,16:27:46
99.05,100.00,602,16:27:47
99.05,100.00,602,16:27:48
99.12,100.00,602,16:27:49
99.27,100.00,602,16:27:50
99.52,100.00,602,16:27:51
99.52,100.00,602,16:27:52
99.63,100.00,602,16:27:53
99.63,100.00,602,16:27:54
99.68,100.00,602,16:27:55
99.75,100.00,602,16:27:56
99.85,100.00,602,16:27:57
99.85,100.00,602,16:27:58
99.95,100.00,602,16:27:59
99.96,100.00,602,16:28:00
100.02,100.00,602,16:28:01
100.02,100.00,602,16:28:02
100.02,100.00,602,16:28:03
100.00,100.00,602,16:28:04
100.00,100.00,602,16:28:05
100.00,100.00,602,16:28:06
99.76,100.00,602,16:28:07
99.26,100.00,602,16:28:08
98.94,100.00,602,16:28:09
98.94,100.00,602,16:28:10
98.80,100.00,602,16:28:11
98.74,100.00,599,16:28:12
98.60,100.00,599,16:28:13
98.55,100.00,599,16:28:14
98.58,100.00,599,16:28:15
98.58,100.00,599,16:28:16
98.83,100.00,599,16:28:17
99.02,100.00,599,16:28:18
99.40,100.00,599,16:28:19
99.40,100.00,599,16:28:20
99.44,100.00,599,16:28:21
99.44,100.00,599,16:28:22
99.56,100.00,599,16:28:23
99.66,100.00,599,16:28:24
99.66,100.00,599,16:28:25
99.72,100.00,599,16:28:26
99.72,100.00,599,16:28:27
99.72,100.00,599,16:28:28
99.72,100.00,599,16:28:29
100.08,100.00,599,16:28:30
100.11,100.00,602,16:28:31
100.11,100.00,602,16:28:32
100.11,100.00,602,16:28:33
100.11,100.00,602,16:28:34
100.11,100.00,602,16:28:35
100.11,100.00,602,16:28:36
100.11,100.00,602,16:28:37
100.11,100.00,602,16:28:38
100.11,100.00,602,16:28:39
100.83,100.00,602,16:28:40
100.84,100.00,602,16:28:41
100.84,100.00,602,16:28:42
100.84,100.00,602,16:28:43
100.84,100.00,602,16:28:44
100.87,100.00,602,16:28:45
100.87,100.00,602,16:28:46
100.87,100.00,602,16:28:47
100.87,100.00,602,16:28:48
100.71,100.00,602,16:28:49
100.71,100.00,602,16:28:50
100.63,100.00,602,16:28:51
100.63,100.00,602,16:28:52
100.63,100.00,602,16:28:53
100.62,100.00,602,16:28:54
100.62,100.00,602,16:28:55
100.59,100.00,602,16:28:56
100.59,100.00,602,16:28:57
100.47,100.00,602,16:28:58
100.47,100.00,602,16:28:59
