,x,losses,acc,val_losses,val_acc
0,0,0.8990901708602905,0.7759847044944763,0.9394127130508423,0.8073274493217468
1,1,0.8883068561553955,0.7642495632171631,0.9306879043579102,0.7976396083831787
2,2,0.8787927627563477,0.7537403106689453,0.9227014183998108,0.7886738181114197
3,3,0.8698821067810059,0.7438837289810181,0.9152228236198425,0.7802583575248718
4,4,0.8616762757301331,0.7346845269203186,0.908172070980072,0.7723602056503296
5,5,0.8537916541099548,0.7258910536766052,0.901402473449707,0.7648118734359741
6,6,0.8461052179336548,0.7172142863273621,0.8945315480232239,0.757231593132019
7,7,0.8379052877426147,0.7081292867660522,0.8872255086898804,0.7492471933364868
8,8,0.8291752338409424,0.6984683871269226,0.8791049718856812,0.7404648065567017
9,9,0.8190080523490906,0.6871944069862366,0.8697848320007324,0.7305206656455994
10,10,0.8066608309745789,0.6737776398658752,0.8588842153549194,0.7191445231437683
11,11,0.7923066020011902,0.6586598753929138,0.8460165858268738,0.7060278058052063
12,12,0.7757301926612854,0.6415525674819946,0.8309016823768616,0.6910171508789062
13,13,0.7581955790519714,0.6240394115447998,0.8141235113143921,0.6749274134635925
14,14,0.7404268383979797,0.6068182587623596,0.7972050905227661,0.6591808795928955
15,15,0.7235621213912964,0.5912410020828247,0.7813300490379333,0.6446982026100159
16,16,0.7077531218528748,0.5768268704414368,0.7669210433959961,0.6320104002952576
17,17,0.693423330783844,0.5642056465148926,0.7542116641998291,0.6209787130355835
18,18,0.679874062538147,0.5525603294372559,0.7429013252258301,0.6112894415855408
19,19,0.6679355502128601,0.5424885153770447,0.7328152656555176,0.6029468178749084
20,20,0.657405436038971,0.5335286855697632,0.7239031195640564,0.5958349108695984
21,21,0.6477246284484863,0.5257044434547424,0.7161029577255249,0.5897921919822693
22,22,0.6392474174499512,0.5191323161125183,0.7093431353569031,0.5847082734107971
23,23,0.6314780116081238,0.5131134986877441,0.7035009264945984,0.5805138945579529
24,24,0.6238709688186646,0.50741046667099,0.6984567642211914,0.5770704746246338
25,25,0.618459165096283,0.5034552216529846,0.6941283345222473,0.5742771029472351
26,26,0.6130063533782959,0.4995766878128052,0.6903679966926575,0.5719174742698669
27,27,0.6081778407096863,0.49604517221450806,0.6871351599693298,0.5699574947357178
28,28,0.6041198372840881,0.4933444857597351,0.6843580007553101,0.5683553218841553
29,29,0.6006271243095398,0.4912681579589844,0.6819183230400085,0.5669670104980469
30,30,0.5971766710281372,0.4890316128730774,0.6798198819160461,0.5658113956451416
31,31,0.5947661399841309,0.48751479387283325,0.6779718399047852,0.564818263053894
32,32,0.5921093225479126,0.48567813634872437,0.6763970851898193,0.5640028715133667
33,33,0.5898227691650391,0.4843202829360962,0.6749835014343262,0.5632742047309875
34,34,0.587475597858429,0.48293912410736084,0.673750102519989,0.5626497864723206
